Page,Trend,Seasonality,Serial Correlation (RAW),Serial Correlation (TSA),Skewness (RAW),Skewness (TSA),Kurtosis (RAW),Kurtosis (TSA),Self-Similarity,Chaos,Non-Linearity (TSA),Non-Linearity (RAW)
G25G8,0.012052578642890327,5.551115123125786e-16,183.56171234718238,242.31677411643508,5.416425644814958,1.0062068397176058,38.852209711504905,-0.932724252608431,1.011591166713928,0.01067664336441166,44.70434050362712,7.4087134194313755
2MO78,0.09468546540170963,0.8525938360876553,206.3459167479007,44.5015208631507,0.9038987518918844,-0.37393394681303344,-0.1814986932771867,4.774665414952934,0.7735112243805748,0.009017988673427523,15.159035301071286,27.431050286613377
B178B,0.04392933755714723,0.8149101316808273,245.09377053791698,81.60467702721965,1.1152382868308717,-1.7705017938636924,0.3980940032494456,10.449264197951244,0.8216312006484402,0.018507257619298573,12.905778597331352,32.83018509473363
TS1P1,0.1092373460071956,0.519863316865944,130.80041982261142,61.25035981034709,-0.3433644609737797,-0.8553451200529744,1.5747779042157104,7.0652925049921596,0.7897591654875276,-0.006491288199114832,12.176078237359256,33.17333487348432
KZZB5,0.1241488131937334,0.6788664345323778,125.93098831226295,9.295518856325188,6.942420002001191,0.5536976538458582,64.81913296575446,2.6157737773122416,0.391782729820905,0.031121155680442342,4.409347861004918,11.075524759270916
ML1WN,0.0616891308097004,0.28304248462002635,41.12008249365949,9.412733919176071,-0.2844292887752035,-0.2917475109077909,0.9528728282292348,2.2154795002097205,0.6780466703140724,0.000731098541771161,2.676766352895353,6.507393803322768
63BDG,0.10513931234760596,0.8488532835519876,206.0733904276917,0.7973674333163704,0.7480054856056746,-1.6794873618218995,-0.4500172670969884,12.12506113616276,0.6362877325732138,0.0055772132132935045,1.5154432666090474,38.70434726805675
1FYBT,0.07291246527369688,0.04331354103897933,4.486877174458536,1.7783069120065056,0.5062520847298102,-0.13556331278106332,0.9878776141977568,0.8400288195964913,0.601358263738188,-0.0006476410362066402,-0.4000210582722181,-0.5768296113020789
YG49W,0.07318077798030775,0.1301388867841471,18.56526898842021,9.114441356159817,0.3127106450605145,-0.10192893057701373,0.3329461923046941,0.9981127639493366,0.6470828862369227,-0.0007746580952385366,1.8105703450112305,4.126444089863943
GOX3P,0.0769302455905938,0.5914102483419206,81.53406702244622,4.4100255860785404,4.558312316426306,-1.3533029777747592,40.3035887999718,18.611503244557234,0.6673074701814298,0.0071753865814519705,2.18042028529292,14.798645838067825
E67I8,0.08509398898280895,0.5426203462951671,110.6296967180827,8.660606193374795,1.0256037479453572,-0.35726972282411323,1.0558288198577257,1.2640689718755924,0.5271479459160794,0.0027797207903505136,4.895449972631934,15.669830379498956
57AR3,0.11069425498751896,0.05588223246635682,13.051936712600286,11.240610883487227,2.502577107156697,0.4811415499545243,18.594239498216826,5.5767676048268,0.6260586329085477,-0.003285324328370942,2.36382591286354,3.654483917338038
4866L,0.0962420564402796,0.02921613945193768,33.00716157075195,30.19830415839616,3.9556369693741225,2.3204131480314696,64.85116970816644,53.0712670251785,0.7704110818231984,-0.0041013909492446,7.092172778766932,10.716020960665642
9R364,0.0760777866666531,0.07296599679782367,0.2140775393681526,0.1896940581828268,1.1236300081385182,-0.7901199757425439,4.08691308581851,0.6246485513191469,0.5197131829830008,0.001953810129476481,1.4915779468584411,1.2138598966817886
PUDC7,0.05533819459657463,0.21800583209884128,136.07549812708731,103.01746845135277,0.9690529258117828,0.660258064780827,2.6078770834119123,4.7654624708094575,0.901403952091166,-0.0030473305058871195,14.397383666317149,16.86312015183693
XKD61,0.07087359930242731,0.8053801810932137,205.25806399211257,59.187677961154996,0.5809297811283531,-0.5163102317401033,-0.41059602395631867,4.823063954694833,0.6889556428827479,-0.00925571596961812,10.859543179111032,41.071708653082105
3HV59,0.04529117456397303,0.02886113461322959,83.22615361019125,85.01738217098641,2.3637279360452355,1.1439941477048623,17.546922020536456,12.688752114096589,0.8827766827624633,-0.001701227012629224,14.128464517543733,14.672757598117174
DW2SZ,0.09101648610078616,0.5089393617646591,190.84947746636482,30.907242566657768,2.358091628457798,-1.3260056117984718,6.928638184250696,9.713045216333855,0.712939351771452,0.015039062081721913,7.325196246017064,17.355636861224667
CJK23,0.0985614751585715,0.5103089086788604,79.16145814355488,30.061725846594744,-2.186007903308521,-0.9956182632281262,23.303147039452075,31.914972420710896,0.8979397553830496,0.0022613467793571123,11.375129081694126,31.64017740440147
G660K,0.10358608633458533,0.3777322263072297,43.11295977857502,55.388927066029474,4.679739707111949,0.19298268677352332,35.72618484008406,10.701346144960448,0.5847568528755518,0.0013139611275693878,10.215770565730148,7.902712180351949
VMWIG,0.056560871666766925,0.1041712485933467,124.34132025918987,137.3989711582137,-1.1209316427766318,-0.707367973457989,2.3643610121512584,0.19252895477870124,0.9135902356750888,-4.354745248675722e-05,22.62831743789491,21.186449037597754
T4ZLQ,0.06960506802534905,0.8246231897430437,226.8343976792881,30.01276249485336,0.8726810290316828,-2.226211971732225,-0.15554950980109886,15.425768079689828,0.7658896275886831,0.013156586707232434,6.210715873990795,40.706808279454286
G3DS4,0.06101601223395215,0.5847787109926081,173.1189682400687,42.15817200878238,3.097892325938549,-1.351690168702652,14.847519852481888,3.4778357726847187,0.7045389042421506,0.0400600701047662,5.1749083125558535,16.64918123190525
BOODZ,0.09787776549430027,0.2769564732389287,43.06002729935791,13.835896230127965,0.6935087906715425,-0.07430453890279146,0.10076217570976898,-0.3102856586871745,0.6314683659554028,-0.001657624713710158,4.371631876789746,4.2200468759637895
2G1N8,0.11088964267943102,0.02045261389814124,12.069336292237148,9.445994708827648,0.4281512479719994,-0.23288053194483915,0.8412454803406857,0.1777984938654784,0.6112381784512728,1.9740767595133872e-05,2.349573893025389,3.490012023862503
B42TM,0.042454169116560525,0.4969814914066713,180.4670349090942,137.2899566045344,-0.3485588613558269,-1.0003138586669482,1.4464715193695517,5.810924474549446,0.945481752434324,0.0003916458506468592,34.42153979602154,43.27057976340891
MV7V0,0.08640924600997224,0.19424384716451887,141.1914901417259,90.46992373002443,1.3339745570239243,0.1724254544560079,3.2527429472491654,7.244570406640181,0.7093568521351701,0.006450954991805953,16.357548507694148,16.043657522750227
TEHSE,0.091188393909864,0.3269263390921729,82.17534660716349,41.02759333823565,0.5695640026822686,-0.3747799370517398,0.35409522852939723,0.5934548857667097,0.8051489127099979,-0.0050446007238781725,5.957523550641607,8.901030032032178
7QY4W,0.06400866360910218,0.1339753804034609,173.0647073944456,127.1860700764617,2.6234574908599924,0.6993748014936941,8.021647298610088,9.261222418561118,0.7562378743251144,0.018483740706933486,16.404398093337807,14.93896923941556
1SENG,0.07604529075413857,0.4446916384741887,46.17625079424853,39.3262120697298,-4.742559783970751,-1.7374745549450454,50.31944900772571,18.770318622461367,0.8150083802983563,0.001114308281787624,9.620034654508547,22.23686699011007
